Afghanistan;833.1;3.021 ; billion kWh 
Albania;4.726;7.793 ; billion kWh 
Algeria;48.05;44; billion kWh 
American Samoa;156.4;144.2 ; billion kWh 
Andorra;91.24;562.4 ; billion kWh 
Angola;5.512;4.875 ; billion kWh 
Antigua and Barbuda;310;288.3 ; billion kWh 
Argentina;123.2;114.2 ; billion kWh 
Armenia;7.622;5.043 ; billion kWh 
Aruba;980;911.4 ; billion kWh 
Australia;239.7;226.9 ; billion kWh 
Austria;68.02;69.01 ; billion kWh 
Azerbaijan;22.99;20.29 ; billion kWh 
Bahamas, The;2.19;2.037 ; billion kWh 
Bahrain;13;12.12 ; billion kWh 
Bangladesh;42.41;37.88 ; billion kWh 
Barbados;1.002;934; billion kWh 
Belarus;31.5;37.88 ; billion kWh 
Belgium;74.13;83.16 ; billion kWh 
Belize;452.2;572.2 ; billion kWh 
Benin;146;858; billion kWh 
Bermuda;648.9;664.2 ; billion kWh 
Bhutan;7.55;1.841 ; billion kWh 
Bolivia;7.375;6.944 ; billion kWh 
Bosnia and Herzegovina;16.3;12.56 ; billion kWh 
Botswana;350;3.162 ; billion kWh 
Brazil;530.4;478.8 ; billion kWh 
British Virgin Islands;53;49.29 ; billion kWh 
Brunei;3.5;3.233 ; billion kWh 
Bulgaria;47.21;28.5 ; billion kWh 
Burkina Faso;579;1.033 ; billion kWh 
Burma;10.48;7.77 ; billion kWh 
Burundi;152;236.4 ; billion kWh 
Cabo Verde;307;285.5 ; billion kWh 
Cambodia;1.77;3.553 ; billion kWh 
Cameroon;5.857;5.267 ; billion kWh 
Canada;644.1;551.6 ; billion kWh 
Cayman Islands;594;552.4 ; billion kWh 
Central African Republic;175;162.8 ; billion kWh 
Chad;200;186; billion kWh 
Chile;61.85;57.89 ; billion kWh 
China;5.65;5.523 ; billion kWh 
Colombia;59.22;50.25 ; billion kWh 
Comoros;43;39.99 ; billion kWh 
Congo, Democratic Republic of the;7.802;6.653 ; billion kWh 
Congo, Republic of the;559;588; billion kWh 
Cook Islands;32.13;29.88 ; billion kWh 
Costa Rica;9.889;8.792 ; billion kWh 
Cote d Ivoire;5.87;3.89 ; billion kWh 
Croatia;13.38;16.97 ; billion kWh 
Cuba;19.14;16.2; billion kWh 
Curacao;1.785;968; billion kWh 
Cyprus;3.942;4.409 ; billion kWh 
Czech Republic;81.71;70.45 ; billion kWh 
Denmark;29.85;32.62 ; billion kWh 
Djibouti;330;306.9 ; billion kWh 
Dominica;105.5;98.12 ; billion kWh 
Dominican Republic;14.1;9.176 ; billion kWh 
Ecuador;22.85;19.38 ; billion kWh 
Egypt;152;129.4 ; billion kWh 
El Salvador;5.992;5.412 ; billion kWh 
Equatorial Guinea;97;90.21 ; billion kWh 
Eritrea;317;269; billion kWh 
Estonia;11.66;7.681 ; billion kWh 
Ethiopia;5.107;4.591 ; billion kWh 
European Union;3.26;2.798 ; billion kWh 
Falkland Islands (Islas Malvinas);12;11.16 ; billion kWh 
Faroe Islands;261;242.7 ; billion kWh 
Fiji;857.5;777.6 ; billion kWh 
Finland;67.69;81.06 ; billion kWh 
France;568;462.9 ; billion kWh 
French Polynesia;825;767.3 ; billion kWh 
Gabon;1.702;1.378 ; billion kWh 
Gambia, The;230;213.9 ; billion kWh 
Gaza Strip;0.051;0.202; billion kWh 
Georgia;9.694;9.379 ; billion kWh 
Germany;575.9;582.5 ; billion kWh 
Ghana;12.87;10.58 ; billion kWh 
Gibraltar;161;156; billion kWh 
Greece;54.98;52.02 ; billion kWh 
Greenland;320;314; billion kWh 
Grenada;196;180; billion kWh 
Guam;1.566;1.564 ; billion kWh 
Guatemala;8.361;8.143 ; billion kWh 
Guinea-Bissau;55;51.15 ; billion kWh 
